max_acc_mag,max_gyro_mag,max_jerk,pre_roll,post_roll,pre_pitch,post_pitch,delta_roll_window,delta_pitch_window
18.391302,4.944694,157.55287,-1.4255602,-1.2874968,1.2379118,1.1289313,0.13806343,-0.10898054
17.687283,6.1717095,130.62753,0.37904707,-0.9792245,0.04182949,1.311514,-1.3582716,1.2696846
17.07425,4.419276,130.62753,-0.35277358,-0.6647142,1.1984389,1.2933578,-0.31194064,0.09491897
17.07425,4.419276,123.69099,-0.48213068,-0.37834293,1.1807611,1.1787617,0.10378775,-0.0019993782
16.043379,3.9572718,137.62885,-1.2052438,-1.063937,1.2171584,1.3188691,0.14130688,0.10171068
16.043379,3.879433,137.62885,-0.7912731,-1.6448781,1.2505019,1.3922908,-0.85360503,0.14178896
14.291956,4.323193,114.1795,0.0700005,-0.9263989,-0.0015703898,1.2855796,-0.9963994,1.2871499
14.291956,2.0493903,73.41194,-1.1712601,-1.2705411,1.1299404,1.2267776,-0.09928095,0.09683716
14.164039,1.9,56.29182,-0.89977616,-0.9695237,1.1350619,1.1668198,-0.06974757,0.03175795
14.806079,1.9416487,92.60116,-1.0318058,-1.3546749,1.2295674,1.189787,-0.32286918,-0.03978038
14.806079,1.9467922,92.60116,-1.1918001,-1.0118932,1.2994866,1.1988146,0.17990696,-0.10067201
17.611927,8.809654,250.18721,0.41149163,-1.688225,-0.05517315,1.2012227,-2.0997167,1.2563958
17.056377,3.4292855,140.14388,-1.6632227,-1.618282,1.1930864,1.2818339,0.04494071,0.0887475
18.559633,3.4292855,140.14388,-1.6521766,-1.7202663,1.1633176,1.2498641,-0.06808972,0.08654654
18.559633,5.984981,209.86491,-1.9195722,-2.0148807,1.1290616,1.2257891,-0.09530842,0.09672749
17.545368,5.984981,209.86491,-1.6360945,-1.6393824,1.1192843,1.1397407,-0.0032879114,0.020456433
16.808628,6.2201285,127.559,0.0037282235,-1.5989381,0.26072487,1.360794,-1.6026664,1.100069
16.808628,3.0430248,127.559,-1.3561327,-1.67335,1.3011141,1.3132375,-0.31721723,0.012123466
16.634302,6.185467,101.06783,-1.4038191,-1.858378,1.273114,1.2096747,-0.45455897,-0.06343925
16.609936,6.185467,166.06236,-0.6767658,-0.877672,1.3752838,1.2879813,-0.20090622,-0.087302566
15.371077,5.189412,125.11478,-1.7546597,-0.6973231,1.2110392,1.1742734,1.0573366,-0.036765814
14.8946295,5.8189344,128.0885,0.48569193,-1.5632958,-0.061286855,1.288602,-2.0489879,1.3498888
14.8946295,3.7429938,72.57905,-1.3566811,0.51126957,1.2741878,1.4493434,1.8679507,0.17515564
14.297203,1.1357816,84.89485,-1.6859732,-2.338121,1.2371961,1.3540076,-0.65214777,0.116811514
14.458561,1.1357816,84.89485,-0.1872075,0.44846576,1.4863106,1.4563459,0.6356733,-0.029964685
14.458561,2.3452077,87.48079,-1.0973352,-1.5637445,1.3647507,1.1344655,-0.46640933,-0.23028529
13.690142,2.3727622,139.10924,0.010460539,-0.9255064,0.1189186,0.9890752,-0.93596697,0.8701566
15.149258,1.7262676,63.681652,-0.60354835,-0.95850897,0.38139403,0.9135575,-0.35496062,0.5321635
15.149258,2.0639768,102.34361,-0.81578016,-0.9862558,0.8316992,0.87351817,-0.17047566,0.041818976
14.622244,2.0639768,102.34361,-0.8499838,-1.0299414,0.85214937,0.7929174,-0.17995763,-0.059231997
15.830666,4.5199556,97.94646,-0.99995726,-1.5943731,0.80177194,1.1865196,-0.59441584,0.38474768
