variant,experiment_id,fall_f1,fall_precision,fall_recall,FP,direction_macro_f1,params_direction,fall_feature_count,avg_fall_f1,E7_fall_f1,E7_FP,avg_direction_macro_f1,E7_direction_macro_f1
LightDir_D2_Micro_TCN_Direction_seed42_lr0.0005,E3/E6/E7_avg,,,,,,3523.0,,,,,0.7942271441626447,0.7930283224400871
LightDir_D2_Micro_TCN_Direction_seed42_lr0.001,E3/E6/E7_avg,,,,,,3523.0,,,,,0.7785944484647764,0.7019005847953216
LightDir_D3_A5_Direction_Small_050_seed42_lr0.0005,E3/E6/E7_avg,,,,,,6223.0,,,,,0.7841405161401744,0.7592592592592592
LightDir_D3_A5_Direction_Small_050_seed42_lr0.001,E3/E6/E7_avg,,,,,,6223.0,,,,,0.6567163384707245,0.5962962962962963
LightDir_D4_A5_Direction_Small_025_seed42_lr0.0005,E3/E6/E7_avg,,,,,,1761.0,,,,,0.6435696415683858,0.6321195144724556
LightDir_D4_A5_Direction_Small_025_seed42_lr0.001,E3/E6/E7_avg,,,,,,1761.0,,,,,0.6350164784762308,0.5191183085919927
LightDir_D5_Tiny_GRU_Direction_seed42_lr0.0005,E3/E6/E7_avg,,,,,,1763.0,,,,,0.6690063741876071,0.7489177489177489
LightDir_D5_Tiny_GRU_Direction_seed42_lr0.001,E3/E6/E7_avg,,,,,,1763.0,,,,,0.646990114993884,0.7040930084408346
LightDir_D6_Summary_MLP_DirectionCore_seed42_lr0.0005,E3/E6/E7_avg,,,,,,2659.0,,,,,0.7341340123202867,0.6702020202020202
LightDir_D6_Summary_MLP_DirectionCore_seed42_lr0.001,E3/E6/E7_avg,,,,,,2659.0,,,,,0.7462361639780996,0.6702020202020202
